iter	Passed	Remaining
0	1	412
1	3	549
2	5	566
3	7	568
4	9	564
5	11	566
6	13	566
7	15	561
8	17	557
9	19	553
10	20	551
11	22	549
12	24	546
13	26	544
14	28	542
15	30	540
16	32	538
17	34	536
18	36	533
19	38	532
20	39	530
21	41	528
22	43	529
23	45	527
24	47	525
25	49	523
26	51	520
27	53	518
28	55	517
29	57	515
30	59	514
31	61	513
32	63	511
33	65	509
34	66	507
35	68	505
36	70	502
37	72	501
38	74	499
39	76	497
40	78	495
41	80	493
42	82	492
43	84	490
44	86	488
45	88	487
46	90	485
47	92	484
48	94	481
49	95	479
50	97	478
51	99	476
52	101	473
53	103	472
54	105	470
55	107	468
56	109	466
57	111	464
58	113	462
59	115	460
60	117	458
61	119	457
62	121	455
63	123	453
64	125	452
65	126	450
66	128	448
67	130	446
68	132	444
69	134	442
70	136	441
71	137	436
72	139	433
73	141	431
74	143	429
75	145	428
76	147	426
77	149	424
78	151	422
79	153	420
80	154	418
81	156	416
82	158	414
83	160	412
84	162	411
85	164	409
86	166	407
87	168	405
88	170	404
89	172	402
90	174	400
91	176	398
92	177	396
93	179	394
94	181	392
95	183	390
96	185	388
97	187	386
98	189	384
99	191	382
100	193	380
101	195	378
102	197	377
103	199	375
104	201	373
105	203	371
106	204	369
107	206	367
108	208	365
109	210	363
110	212	361
111	214	359
112	216	357
113	218	355
114	219	353
115	221	351
116	223	349
117	225	347
118	227	345
119	229	344
120	231	342
121	233	340
122	235	338
123	236	336
124	238	334
125	240	332
126	242	330
127	244	328
128	246	326
129	248	324
130	250	322
131	252	320
132	253	318
133	255	316
134	257	315
135	259	313
136	261	311
137	263	309
138	265	307
139	267	305
140	269	303
141	271	301
142	273	299
143	275	298
144	276	296
145	278	294
146	280	292
147	282	290
148	284	288
149	286	286
150	288	284
151	290	282
152	292	280
153	293	278
154	296	276
155	298	275
156	299	273
157	301	271
158	303	269
159	305	267
160	307	265
161	309	263
162	311	261
163	313	259
164	314	257
165	316	255
166	318	253
167	320	251
168	322	249
169	324	248
170	326	246
171	328	244
172	330	242
173	331	240
174	333	238
175	335	236
176	337	234
177	339	232
178	341	230
179	343	229
180	345	227
181	347	225
182	349	223
183	351	221
184	353	219
185	355	217
186	356	215
187	358	213
188	360	211
189	362	209
190	364	208
191	366	206
192	368	204
193	370	202
194	372	200
195	373	198
196	376	196
197	378	194
198	379	192
199	381	190
200	383	188
201	385	187
202	387	185
203	389	183
204	391	181
205	393	179
206	395	177
207	397	175
208	399	173
209	401	171
210	403	170
211	405	168
212	407	166
213	408	164
214	411	162
215	412	160
216	414	158
217	416	156
218	418	154
219	420	152
220	422	151
221	424	149
222	426	147
223	429	145
224	430	143
225	432	141
226	434	139
227	436	137
228	438	136
229	440	134
230	442	132
231	444	130
232	446	128
233	448	126
234	450	124
235	451	122
236	453	120
237	455	118
238	457	116
239	459	114
240	461	113
241	463	111
242	465	109
243	467	107
244	469	105
245	471	103
246	473	101
247	474	99
248	476	97
249	478	95
250	480	93
251	482	91
252	484	89
253	486	88
254	487	86
255	489	84
256	491	82
257	493	80
258	495	78
259	497	76
260	499	74
261	501	72
262	503	70
263	505	68
264	507	66
265	508	65
266	510	63
267	512	61
268	514	59
269	516	57
270	518	55
271	520	53
272	522	51
273	523	49
274	525	47
275	527	45
276	529	43
277	531	42
278	533	40
279	535	38
280	537	36
281	538	34
282	540	32
283	542	30
284	544	28
285	546	26
286	548	24
287	550	22
288	552	21
289	554	19
290	556	17
291	557	15
292	559	13
293	561	11
294	563	9
295	565	7
296	567	5
297	569	3
298	571	1
299	573	0
